# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 05:21:42 BST
# Ring energy:   3.0
# Ring current - start: 301.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264095_FeBr3_10.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264095_FeBr3_10.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr3
# Sample description: FeBr3
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	     It	   Iref	 lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6926.34	0.078386	838817.0	83622.0	19414.0	2.30569	 1.46031	   32.31	   10.05	    9.06	   10.07	   27.52	   35.50	   45.00	   18.22	   21.27	209.01	0.000249177
      6926.64	0.075023	802930.0	80079.0	18652.0	2.30525	 1.45706	   18.17	    8.05	   12.08	   14.10	   22.44	   15.22	   30.65	   11.14	   16.21	148.04	0.000184379
      6926.94	0.075490	806947.0	80504.0	18739.0	2.30495	 1.45770	   18.18	    5.03	   19.13	   11.08	   32.63	   27.38	   37.84	   17.21	   22.29	190.77	0.000236410
      6927.24	0.073802	789788.0	78810.0	18375.0	2.30472	 1.45605	   13.13	    2.01	   10.07	    7.05	   22.41	   24.34	   31.69	   20.25	   31.42	162.37	0.000205587
      6927.54	0.072434	774669.0	77384.0	18043.0	2.30366	 1.45602	   15.15	    5.03	   10.07	   20.14	   19.38	   30.42	   17.37	   14.17	   28.37	160.09	0.000206658
      6927.84	0.072638	776943.0	77715.0	18088.0	2.30232	 1.45780	   19.18	    5.03	   10.06	   16.11	   28.53	   17.24	   39.86	   27.34	   19.24	182.60	0.000235030
      6928.14	0.075492	808279.0	80751.0	18852.0	2.30354	 1.45475	   12.11	    8.04	   17.12	   13.09	   28.54	   22.31	   29.64	   23.28	   24.32	178.45	0.000220776
      6928.44	0.072819	778832.0	77933.0	18152.0	2.30195	 1.45707	   16.15	    4.02	   14.10	    9.07	   25.49	   19.26	   30.67	   23.29	   26.34	168.39	0.000216209
      6928.74	0.075199	804744.0	80640.0	18845.0	2.30053	 1.45375	   26.26	   11.06	    7.05	    5.04	   25.50	   22.31	   28.62	   16.21	   24.32	166.37	0.000206735
      6929.04	0.074076	792652.0	79435.0	18553.0	2.30045	 1.45431	   17.17	    4.02	   12.09	    8.06	   24.45	   19.26	   29.66	   20.25	   36.48	171.43	0.000216274
      6929.34	0.072418	775056.0	77750.0	18130.0	2.29944	 1.45593	   15.14	    3.02	    5.03	    9.06	   23.45	   19.25	   39.86	   12.15	   22.28	149.25	0.000192568
      6929.64	0.070468	753678.0	75634.0	17662.0	2.29906	 1.45449	   19.19	    6.03	   22.15	   13.09	   21.41	   15.21	   37.80	   22.28	   23.29	180.44	0.000239410
      6929.94	0.068972	737823.0	74118.0	17287.0	2.29805	 1.45570	   11.11	    7.04	   13.09	    2.01	   23.44	   28.39	   25.54	   17.22	   22.28	150.13	0.000203476
      6930.24	0.077321	826499.0	83088.0	19345.0	2.29730	 1.45747	   19.18	   12.06	   21.15	   11.08	   29.56	   19.27	   31.68	   13.17	   30.38	187.53	0.000226900
      6930.54	0.076972	823317.0	82840.0	19374.0	2.29643	 1.45298	   17.16	    4.02	   17.12	    8.06	   28.53	   22.30	   28.60	   15.18	   28.36	169.34	0.000205684
